artist,venue,date
test,test,11/03/2013
Kurt Vile & The Violators Kurt Vile,All Saints Church,11/03/2016
Ben Abraham,Latest Music Bar,11/03/2016
Ludovico Einaudi,Brighton Dome,12/03/2016
Sylosis and Decapitated,Concorde 2,12/03/2016
Esben and the Witch,The Green Door Store,12/03/2016
Decapitated and Sylosis,Concorde 2,12/03/2016
Peter Andre,Brighton Centre,12/03/2016
The Correspondents,The Haunt,12/03/2016
"Muncie Girls Doe, Fresh (UK), and Random Heroes",Sticky Mike's Frog Bar,12/03/2016
Ben Abraham,The Latest Music Bar,12/03/2016
Ludovico Einaudi,Brighton Dome,12/03/2016
Josef Salvat The Half Earth,The Haunt,12/03/2016
Submotion Orchestra Catching Flies,Concorde 2,12/03/2016
Fickle Friends,Patterns (formerly Audio),12/03/2016
Detroit Swindle Pablo Contraband,Patterns (formerly Audio),12/03/2016
Collabro,Brighton Centre,12/03/2016
Steven James Adams Mammoth Penguins,The Hope & Ruin,12/03/2016
Ruby My Dear,Volks,12/03/2016
Huggy The Bears,The Latest Music Bar,12/03/2016
Dead Prez,The Haunt,13/03/2016
"Lee ""Scratch"" Perry Mad Professor",Concorde 2,13/03/2016
Fifi Rong and Ink Project Coreysan,The Green Door Store,13/03/2016
Mike Ross,Prince Albert,13/03/2016
Toseland,The Hope & Ruin,13/03/2016
Little Mix,Brighton Centre,14/03/2016
Half Moon Run,All Saints Church,14/03/2016
LIGHTS,Concorde 2,14/03/2016
Tracer Federal Charm,The Haunt,15/03/2016
Croox,The Green Door Store,15/03/2016
Wooden Indian Burial Ground Virgin Kids and Wizard Sleeve,The Hope & Ruin,15/03/2016
Kano,Concorde 2,16/03/2016
Hayley Ross,Prince Albert,16/03/2016
Tim Garland,Brighton Dome,16/03/2016
Vukovi The Gospel Youth,Sticky Mike's,16/03/2016
Matthew Bourne Michael England,Komedia Brighton,16/03/2016
Mark Wynn,The Latest Music Bar,
Wet Kelsey Lu,Patterns (formerly Audio),
Crossfaith,The Haunt,
Channel One Sound System,Concorde 2,
"Bazooka Pink Street Boys, Fuoco, and Mister Lizard",Sticky Mike's Frog Bar,
MoMoTaRo Yossarian,The Green Door Store,
Blancmange,Concorde 2,
Craig Charles,Concorde 2,
Yumi and The Weather and Bloom (wecanbloom),The Hope & Ruin,
"Skurvi, Born to Destruct, and SPUNK VOLCANO AND THE ERUPTIONS",Prince Albert,
Craig Charles Funk & Soul Club,Concorde 2,
Field Music,The Haunt,
The Puppini Sisters,Komedia Brighton,
Joanna Gruesome,The Hope & Ruin
Wolf Alice,"Concert Hall, Brighton Dome"
Robyn Sherwell,Prince Albert
Melody 101,The Latest Music Bar
While She Sleeps,The Haunt
"Christian McBride, Edgar Meyer, and Johnny Kidd Promotions",Komedia Brighton
Jason Donovan,Brighton Centre
Furrow Collective,The Greys
Imbium and gloo,The Green Door Store
Sworn To Oath,The Haunt
Teen Creeps Perch and Porridge Radio & The Cosmic Sadness,Sticky Mike's Frog Bar
Refused,Concorde 2
Francis Lung,The Hope & Ruin
"Radical Dance Faction Mark Ayling, The Lovely Brothers, and Ratbag",Prince Albert
Rats On Rafts,Sticky Mike's Frog Bar
Wilkinson,Concorde 2
Delta Heavy,Concorde 2
Long Tall Texans,The Hope & Ruin
"Rory Indiana Quiet Lions, Raya Rose, and Blue Eyed Giants",The Haunt
Purson,The Hope & Ruin
DIIV,Concorde 2
Alex Cornish Richard Walters,The Latest Music Bar
"Fuck the Facts, Dysteria, Swallowing, and Wyrdforge",Prince Albert
The Cat Empire Black Peaches,Concorde 2
Blanck Mass,The Haunt
Rationale,Prince Albert
Yndi Halda,The Hope & Ruin
Eliza Shaddad Support,The Green Door Store
Kikagaku Moyo,Bleach
Jacqui McShee's Pentangle and Johnny Kidd Promotions,Komedia Brighton
Mushroomhead and American Head Charge Sanguine,Concorde 2
Nai Harvest Abattoir Blues,The Hope & Ruin
Kris Drever,Komedia Brighton
Andy Blade Willoh (indie/pop band from Brighton),Prince Albert
Tapestry,The Green Door Store
Pvris K.Flay and Alvarez Kings,Concorde 2
Sealings Sweet Williams and Red Deer People,Prince Albert
Mugstar,The Green Door Store
Ultimate Power,Komedia Brighton
Skankandbass,Patterns (formerly Audio)
Christy Moore,Brighton Dome
Hazel O'Connor,The Old Market (TOM)
Misty In Roots,Concorde 2
Catfish,The Brunswick
Room 94,The Haunt
Rusty Shackle,Prince Albert
Sunset Sons,Concorde 2
Patent Pending,The Haunt
Solomon Grey,The Green Door Store
The Coral,Concorde 2
The KVB,The Hope & Ruin
Sessions,Brighton Centre
Moderat,Brighton Dome
GAPS,Prince Albert
Marlon Williams,The Hope & Ruin
Careless Sons,Prince Albert
Sweet Grooves,Concorde 2
Shalamar featuring Howard Hewett Jeffery Daniel Carolyn Griffey,Concorde 2
Daniel Kemish,The Green Door Store
5 Seconds of Summer,Brighton Centre
Black Mountain,Concorde 2
Black Peaks,The Haunt
USA Nails Lower Slaughter,The Green Door Store
Any Other,The Hope & Ruin
Michael Bolton and Gabrielle,Brighton Dome
